feature,importance,model
load_lag_52,0.17776285459174837,random_forest
load_lag_1,0.1278069575634922,random_forest
temp_max,0.07788164655920583,random_forest
week_cos,0.06843706830873246,random_forest
heating_degree_days_lag_1,0.05723819276585193,random_forest
temp_max_lag_1,0.05383592443298541,random_forest
heating_degree_days,0.05094159556464238,random_forest
temp_mean,0.048823781383974856,random_forest
temp_mean_lag_1,0.04297283883417193,random_forest
week_of_year,0.038402042535349915,random_forest
temp_min,0.02145237985831133,random_forest
temp_min_lag_1,0.02122796100132237,random_forest
load_lag_2,0.019427277458467215,random_forest
load_rolling_mean_52,0.01891809697041346,random_forest
heating_degree_days_lag_2,0.018766094715375346,random_forest
temp_mean_lag_2,0.018529445664056395,random_forest
temp_max_lag_2,0.01844264649284873,random_forest
load_rolling_std_12,0.018022912209538545,random_forest
load_rolling_mean_4,0.014603383791939642,random_forest
load_rolling_std_52,0.013190855233478441,random_forest
load_lag_4,0.011227740052922902,random_forest
month,0.011192311478404243,random_forest
week_sin,0.0078003542942804765,random_forest
load_rolling_std_4,0.007788037441549704,random_forest
temp_min_lag_2,0.007248073431265978,random_forest
load_rolling_mean_12,0.0067825106918698195,random_forest
load_lag_12,0.0063341484197919976,random_forest
year,0.0057731860448945235,random_forest
quarter,0.005397171588208516,random_forest
cooling_degree_days,0.0014257393583481661,random_forest
cooling_degree_days_lag_1,0.0013667561451752074,random_forest
cooling_degree_days_lag_2,0.0009800151173816848,random_forest
load_lag_52,0.7749170031785418,gradient_boosting
load_lag_1,0.11882435517371012,gradient_boosting
temp_max,0.030886226617553678,gradient_boosting
week_of_year,0.017349355511845035,gradient_boosting
load_rolling_std_52,0.0097166811512568,gradient_boosting
week_cos,0.008646144079894894,gradient_boosting
temp_mean,0.008003144242050498,gradient_boosting
load_rolling_mean_52,0.007417613951112796,gradient_boosting
heating_degree_days,0.006327257303243663,gradient_boosting
temp_max_lag_1,0.005733222922143861,gradient_boosting
load_rolling_std_12,0.0033756562646091383,gradient_boosting
load_lag_12,0.002868812914212935,gradient_boosting
load_rolling_mean_12,0.00221399177072763,gradient_boosting
year,0.0016792174073171969,gradient_boosting
load_lag_2,0.0007886605393893101,gradient_boosting
temp_max_lag_2,0.0005606233985827565,gradient_boosting
heating_degree_days_lag_1,0.0004047062474615225,gradient_boosting
load_lag_4,0.0002873273263464362,gradient_boosting
week_sin,0.0,gradient_boosting
quarter,0.0,gradient_boosting
temp_min,0.0,gradient_boosting
cooling_degree_days,0.0,gradient_boosting
month,0.0,gradient_boosting
load_rolling_mean_4,0.0,gradient_boosting
temp_mean_lag_2,0.0,gradient_boosting
temp_mean_lag_1,0.0,gradient_boosting
load_rolling_std_4,0.0,gradient_boosting
temp_min_lag_2,0.0,gradient_boosting
temp_min_lag_1,0.0,gradient_boosting
heating_degree_days_lag_2,0.0,gradient_boosting
cooling_degree_days_lag_1,0.0,gradient_boosting
cooling_degree_days_lag_2,0.0,gradient_boosting
