order,seasonal_order,p,d,q,P,D,Q,seasonal_period,aic,bic,converged,error,search_stage
"(0, 2, 3)","(0, 1, 1, 52)",0,2,3,0,1,1,52,314.6124912894712,326.9420318827441,False,,seasonal_refinement
"(0, 2, 3)","(1, 1, 1, 52)",0,2,3,1,1,1,52,319.2603113212056,334.05576003313314,True,,seasonal_refinement
"(0, 2, 3)","(1, 1, 0, 52)",0,2,3,1,1,0,52,340.7955311245126,353.34982865709685,True,,seasonal_refinement
"(0, 2, 3)","(1, 0, 1, 52)",0,2,3,1,0,1,52,529.9492761645979,547.5561197633821,False,,non_seasonal_search
"(0, 2, 3)","(1, 0, 1, 52)",0,2,3,1,0,1,52,529.9492761645979,547.5561197633821,False,,seasonal_refinement
"(0, 2, 3)","(0, 1, 0, 52)",0,2,3,0,1,0,52,548.5719535054475,560.3098492379703,True,,seasonal_refinement
"(0, 2, 3)","(1, 0, 0, 52)",0,2,3,1,0,0,52,558.0661366534868,572.8803598047863,True,,seasonal_refinement
"(2, 0, 1)","(1, 0, 1, 52)",2,0,1,1,0,1,52,762.4430138433864,780.2200816249459,False,,non_seasonal_search
"(0, 2, 3)","(0, 0, 0, 52)",0,2,3,0,0,0,52,856.1871317552849,869.1962254674714,True,,seasonal_refinement
"(6, 2, 3)","(1, 0, 1, 52)",6,2,3,1,0,1,52,1214.9802978378739,1250.0200689478113,False,,non_seasonal_search
"(0, 2, 3)","(0, 0, 1, 52)",0,2,3,0,0,1,52,1287.5969078556823,1302.2692775213357,False,,seasonal_refinement
"(6, 1, 3)","(1, 0, 1, 52)",6,1,3,1,0,1,52,1995.417977335239,2030.5450215571254,False,,non_seasonal_search
"(6, 2, 2)","(1, 0, 1, 52)",6,2,2,1,0,1,52,2261.3564651898014,2293.4762553739106,True,,non_seasonal_search
"(5, 2, 3)","(1, 0, 1, 52)",5,2,3,1,0,1,52,2582.076244700832,2614.2760352375612,False,,non_seasonal_search
"(4, 0, 2)","(1, 0, 1, 52)",4,0,2,1,0,1,52,2770.014681531992,2796.5535205453957,True,,non_seasonal_search
"(4, 1, 3)","(1, 0, 1, 52)",4,1,3,1,0,1,52,2917.212824598376,2946.629248824469,False,,non_seasonal_search
"(1, 1, 5)","(1, 0, 1, 52)",1,1,5,1,0,1,52,3102.095810788147,3128.441093954562,False,,non_seasonal_search
"(5, 1, 6)","(1, 0, 1, 52)",5,1,6,1,0,1,52,3179.6729892789126,3220.5527222405062,False,,non_seasonal_search
"(6, 2, 6)","(1, 0, 1, 52)",6,2,6,1,0,1,52,3213.379299337107,3257.069122623148,False,,non_seasonal_search
"(2, 1, 0)","(1, 0, 1, 52)",2,1,0,1,0,1,52,3286.318826661346,3301.0979619493523,False,,non_seasonal_search
"(6, 1, 1)","(1, 0, 1, 52)",6,1,1,1,0,1,52,3296.4778721191747,3325.750408970747,False,,non_seasonal_search
"(2, 0, 6)","(1, 0, 1, 52)",2,0,6,1,0,1,52,3301.6906194527937,3333.890409989523,False,,non_seasonal_search
