parameter,estimate,standard_error,p_value
temp_mean,4.670890140523987,0.39462300808595263,2.53280961135814e-32
temp_min,-0.9739868409099086,0.497350812540212,0.05018898646738608
temp_max,-0.4203377679711144,0.6215954239449826,0.4988984125081576
heating_degree_days,4.275915645367261,0.41929503669683915,2.0267152823132457e-24
cooling_degree_days,-0.10579286873460463,0.3108774450372923,0.7336275308592966
ma.L1,-1.6757142798818425,8.793376827087227,0.8488660192985996
ma.L2,0.35503228138106546,5.954533134693869,0.9524552104414561
ma.L3,0.3226422518152825,2.850959227727372,0.909896002943345
ma.S.L52,-0.7788265612850546,0.34434663291516376,0.02371275232273723
sigma2,1.229138438998412,10.874121607421644,0.9100041118507409
